No,Title,Suggested Duration,Address,Ratings,Transport
0,National Gallery,Suggested Duration:2-3 hours,"Trafalgar Square, London WC2N 5DN England",4.5,"['Charing Cross', 'Leicester Square', 'Rental Cars']"
1,Churchill War Rooms,Suggested Duration:1-2 hours,"King Charles Street, Clive Steps Westminster, London SW1A 2AQ England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
2,The British Museum,Suggested Duration:2-3 hours,"Great Russell Street, London WC1B 3DG England",4.5,"['Tottenham Court Road', 'Russell Square', 'Rental Cars']"
3,V&A - Victoria and Albert Museum,Suggested Duration:2-3 hours,"Cromwell Road, London SW7 2RL England",4.5,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
4,Natural History Museum,Suggested Duration:More than 3 hours,"Cromwell Road South Kensington, London SW7 5BD England",4.5,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
5,Wallace Collection,Suggested Duration:Not Available,"Hertford House Manchester Square Manchester Square, London W1U 3BN England",4.5,"['Bond St', 'Marble Arch', 'Rental Cars']"
6,Emirates Stadium Tour and Museum,Suggested Duration:1-2 hours,"75 Drayton Park Emirates Stadium, London N5 1BU England",4.5,"['Arsenal', 'Holloway Road', 'Rental Cars']"
7,The Charterhouse,Suggested Duration:1-2 hours,"The Charterhouse Charterhouse Square, London EC1M 6AN England",5,"['Barbican', 'Farringdon', 'Rental Cars']"
8,Wimbledon Lawn Tennis Museum,Suggested Duration:Not Available,"Church Road, Wimbledon All England Lawn Tennis and Croquet Club, London SW19 5AG England",Ratings Not Available,"['Putney Bridge', 'Morden', 'Rental Cars']"
9,The Courtauld Gallery,Suggested Duration:1-2 hours,"Somerset House Strand Somerset House, London WC2R 0RN England",4.5,"['Temple', 'Covent Garden', 'Rental Cars']"
10,Museum of London Docklands,Suggested Duration:2-3 hours,"1 The Warehouse Hertsmere Road, London E14 4AL England",4.5,"['West India Quay', 'Westferry', 'Rental Cars']"
11,House of Minalima,Suggested Duration:Not Available,"26 Greek Street, London W1D 5DE England",Ratings Not Available,"['Leicester Square', 'Tottenham Court Road', 'Rental Cars']"
12,The Magic Circle,Suggested Duration:Not Available,"12 Stephenson Way, London NW1 2HD England",4.5,"['Euston Square', 'London Euston', 'Rental Cars']"
13,Royal Hospital Chelsea,Suggested Duration:1-2 hours,"Royal Hospital Road, London SW3 4SR England",4.5,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
14,The Museum of the Order of St John,Suggested Duration:Not Available,"St John_s Gate, St John_s Lane Clerkenwell, London EC1M 4DA England",4.5,"['Farringdon', 'Barbican', 'Rental Cars']"
15,Museum of Brands,Suggested Duration:1-2 hours,"111-117 Lancaster Road Notting Hill, London W11 1QT England",4.5,"['Ladbroke Grove', 'Latimer Road', 'Rental Cars']"
16,Lord's Cricket Ground,Suggested Duration:Not Available,"Lords Cricket Ground St. Johns Wood Road, London NW8 8QN England",4.5,"[""St. John's Wood"", 'Maida Vale', 'Rental Cars']"
17,Two Temple Place,Suggested Duration:Not Available,"2 Temple Place, London WC2R 3BD England",4.5,"['Temple', 'Blackfriars', 'Rental Cars']"
18,British Library,Suggested Duration:1-2 hours,"96 Euston Road, London NW1 2DB England",4.5,"[""King's Cross St. Pancras"", 'Euston', 'Rental Cars']"
19,Grant Museum of Zoology,Suggested Duration:Not Available,"21 University Street, London WC1E 6DE England",4.5,"['Euston Square', 'Warren St', 'Rental Cars']"
20,Freemasons' Hall,Suggested Duration:1-2 hours,"Freemasons Hall 60 Great Queen Street Covent Garden, London WC2B 5AZ England",4.5,"['Holborn', 'Covent Garden', 'Rental Cars']"
21,Royal Air Force Museum London,Suggested Duration:More than 3 hours,"Grahame Park Way, London NW9 5LL England",4.5,"['Colindale', 'Burnt Oak', 'Rental Cars']"
22,HMS Belfast,Suggested Duration:Not Available,"The Queen's Walk, London SE1 2JH England",4.5,"['London Bridge', 'Tower Hill', 'Rental Cars']"
23,National Portrait Gallery,Suggested Duration:2-3 hours,"Charing Cross Road 2 St. Martin's Place, London WC2H 0HE England",4.5,"['Charing Cross', 'Leicester Square', 'Rental Cars']"
24,London Mithraeum,Suggested Duration:Not Available,"12 Walbrook, London EC4N 8AA England",Ratings Not Available,"['Cannon St', 'Bank', 'Rental Cars']"
25,Petrie Museum of Egyptian Archaeology,Suggested Duration:Not Available,"University College London, Malet Place, London WC1E 6BT England",Ratings Not Available,"['Euston Square', 'Warren St', 'Rental Cars']"
26,Sir John Soane's Museum,Suggested Duration:Not Available,"13 Lincoln's Inn Fields Holborn, London WC2A 3BP England",4.5,"['Holborn', 'Chancery Lane', 'Rental Cars']"
27,Madame Tussauds London,Suggested Duration:2-3 hours,"Marylebone Road, London NW1 5LR England",4,"['Baker St', ""Regent's Park"", 'Rental Cars']"
28,Novelty Automation,Suggested Duration:1-2 hours,"1A Princeton Street, London WC1R 4AX England",4.5,"['Holborn', 'Chancery Lane', 'Rental Cars']"
29,Imperial War Museums,Suggested Duration:Not Available,"Lambeth Road, London SE1 6HZ England",4.5,"['Waterloo', 'Southwark', 'Rental Cars']"
30,Handel & Hendrix in London,Suggested Duration:1-2 hours,"25 Brook Street Mayfair, London W1K 4HB England",4,"['Bond St', 'Oxford Circus', 'Rental Cars']"
31,BODY WORLDS London,Suggested Duration:2-3 hours,"1 Piccadilly Circus Piccadilly Circus, London W1J 0DA England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
32,All Hallows By The Tower,Suggested Duration:< 1 hour,"Byward Street, London EC3R 5BJ England",4.5,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
33,Charles Dickens Museum,Suggested Duration:1-2 hours,"Charles Dickens Museum 48 Doughty Street, London WC1N 2LX England",4.5,"['Russell Square', 'Chancery Lane', 'Rental Cars']"
34,Tate Britain,Suggested Duration:1-2 hours,"Millbank, London SW1P 4RG England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
35,Museum of London,Suggested Duration:2-3 hours,"150 London Wall, London EC2Y 5HN England",4.5,"[""St. Paul's"", 'Barbican', 'Rental Cars']"
36,Guildhall Art Gallery,Suggested Duration:Not Available,"Guildhall Yard, London EC2V 5AE England",Ratings Not Available,"['Bank', 'Bank', 'Rental Cars']"
37,"The Viktor Wynd Museum of Curiosities, Fine Art & UnNatural History",Suggested Duration:Not Available,"11 Mare Street, London E8 4RP England",4.5,"['Cambridge Heath', 'London Fields', 'Rental Cars']"
38,Wesley's Chapel & Museum of Methodism,Suggested Duration:< 1 hour,"49 City Road, London EC1Y 1AU England",4.5,"['Old St', 'Moorgate', 'Rental Cars']"
39,Freud Museum,Suggested Duration:Not Available,"20 Maresfield Gardens, London NW3 5SX England",4.5,"['Finchley Road', 'Finchley Road & Frognal', 'Rental Cars']"
40,Jewish Museum,Suggested Duration:1-2 hours,"129-131 Albert Street Camden Town, London NW1 7NB England",4.5,"['Camden Town', 'Mornington Crescent', 'Rental Cars']"
41,The Fan Museum,Suggested Duration:Not Available,"12 Crooms Hill, London SE10 8ER England",4.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
42,Wellcome Collection,Suggested Duration:2-3 hours,"183 Euston Road, London NW1 2BE England",4.5,"['Euston Square', 'London Euston', 'Rental Cars']"
43,Apsley House,Suggested Duration:1-2 hours,"Apsley House 149 Piccadilly Hyde Park Corner, London W1J 7NT England",4.5,"['Hyde Park Corner', 'Knightsbridge', 'Rental Cars']"
44,Banqueting House,Suggested Duration:1-2 hours,"Whitehall Palace Whitehall Horse Guards Avenue, London SW1A 2ER England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
45,Cutty Sark,Suggested Duration:Not Available,"King William Walk Greenwich, London SE10 9HT England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
46,Dulwich Picture Gallery,Suggested Duration:Not Available,"14 Gallery Road Dulwich Village, London SE21 7AD England",4.5,"['London Bridge', 'Southwark', 'Rental Cars']"
47,Kenwood House,Suggested Duration:Not Available,"Kenwood House Hampstead Lane, London NW3 7JR England",4.5,"['Golders Green', 'Hampstead Heath', 'Rental Cars']"
48,Somerset House,Suggested Duration:1-2 hours,"The Strand, London WC2R 1LA England",4.5,"['Temple', 'Covent Garden', 'Rental Cars']"
49,Queen's House,Suggested Duration:< 1 hour,"Romney Road Greenwich, London SE10 9NF England",4.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
50,Leighton House Museum,Suggested Duration:1-2 hours,"12 Holland Park Road Kensington, London W14 8LZ England",4.5,"['Kensington,Olympia', 'Kensington (Olympia)', 'Rental Cars']"
51,Twinings,Suggested Duration:< 1 hour,"216 Strand, London WC2R 1AP England",4.5,"['Temple', 'Chancery Lane', 'Rental Cars']"
52,Horniman Museum and Gardens,Suggested Duration:More than 3 hours,"100 London Road Forest Hill, London SE23 3PQ England",4.5,"['Wapping', 'London Bridge', 'Rental Cars']"
53,The Household Cavalry Museum,Suggested Duration:Not Available,"Horse Guards Whitehall, London SW1A 2AX England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
54,The Postal Museum,Suggested Duration:1-2 hours,"15-20 Phoenix Place, London WC1X 0DA England",4.5,"['Russell Square', 'Chancery Lane', 'Rental Cars']"
55,Museum of the Home,Suggested Duration:1-2 hours,"136 Kingsland Road, London E2 8EA England",4.5,"['Hoxton', 'Haggerston', 'Rental Cars']"
56,Fenton House,Suggested Duration:Not Available,"Fenton House Cottage Windmill Hill Hampstead, London NW3 6RT England",Ratings Not Available,"['Hampstead', 'South Hampstead', 'Rental Cars']"
57,The London Film Museum - Covent Garden,Suggested Duration:< 1 hour,"45 Wellington Street, London WC2E 7BN England",4.5,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
58,Graffik Gallery,Suggested Duration:Not Available,"284 Portobello Road, London W10 5TE England",5,"['Ladbroke Grove', 'Westbourne Park', 'Rental Cars']"
59,National Maritime Museum,Suggested Duration:2-3 hours,"Park Row Greenwich Peninsula, London SE10 9NF England",4,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
60,Golden Hinde,Suggested Duration:< 1 hour,"St. Mary Overies Dock Cathedral Street Cathedral St., London SE1 9DE England",4.5,"['London Bridge', 'Monument', 'Rental Cars']"
61,Bank of England Museum,Suggested Duration:1-2 hours,"1 Bartholomew Lane, London EC2N 8AH England",4.5,"['Bank', 'Bank', 'Rental Cars']"
62,Royal Academy of Arts,Suggested Duration:Not Available,"Burlington House Piccadilly Piccadilly, London W1J 0BD England",4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
63,The Foundling Museum,Suggested Duration:1-2 hours,"40 Brunswick Square, London WC1N 1AZ England",4.5,"['Russell Square', ""King's Cross St. Pancras"", 'Rental Cars']"
64,The Queen's Gallery,Suggested Duration:Not Available,"Buckingham Palace Road, London SW1A 1AA England",4,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
65,Florence Nightingale Museum,Suggested Duration:1-2 hours,"Gassiott House 2 Lambeth Palace Road Gassiott House, St. Thomas' Hospital, London SE1 7EW England",4,"['Waterloo', 'Embankment', 'Rental Cars']"
66,Newport Street Gallery,Suggested Duration:< 1 hour,"1 Newport Street, London SE11 6AJ England",4.5,"['Waterloo', 'Southwark', 'Rental Cars']"
67,Clink Prison Museum,Suggested Duration:Not Available,"Clink Prison Museum Soho Wharf 1 Clink Street Clink Prison Museum Soho Wharf, London SE1 9DG England",Ratings Not Available,"['London Bridge', 'Cannon St', 'Rental Cars']"
68,The Guards Museum,Suggested Duration:< 1 hour,"Wellington Barracks Birdcage Walk Birdcage Walk, London SW1E 6HQ England",4.5,"['Green Park', 'Hyde Park Corner', 'Rental Cars']"
69,Tate Modern,Suggested Duration:1-2 hours,"53 Bankside, London SE1 9TG England",4,"['Blackfriars', 'Southwark', 'Rental Cars']"
70,Royal Observatory Greenwich,Suggested Duration:Not Available,"Blackheath Avenue, London SE10 8EJ England",4,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
71,Peter Harrison Planetarium,Suggested Duration:Not Available,"Greenwich at the National Maritime Museum, London SE10 9NF England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
72,Saatchi Gallery,Suggested Duration:2-3 hours,"King's Road Duke of York's HQ, London SW3 4RY England",4.5,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
73,Barbican Centre,Suggested Duration:Not Available,"Silk Street Barbican Centre, London EC2Y 8DS England",4,"['Barbican', 'Moorgate', 'Rental Cars']"
74,London Canal Museum,Suggested Duration:1-2 hours,"12-13 New Wharf Road Kings Cross, London N1 9RT England",4,"[""King's Cross St. Pancras"", 'Caledonian Road & Barnsbury', 'Rental Cars']"
75,Dennis Severs' House,Suggested Duration:Not Available,"18 Folgate Street Liverpool Street Tube, London E1 6BX England",4,"['Shoreditch High St', 'Liverpool St', 'Rental Cars']"
76,Horse Guards Building,Suggested Duration:Not Available,"Horse Guards Whitehall, London SW1A 2AX England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
77,Mall Galleries,Suggested Duration:1-2 hours,"The Mall near Trafalgar Square, London SW1Y 5BD England",4.5,"['Charing Cross', 'Piccadilly Circus', 'Rental Cars']"
78,Serpentine Galleries,Suggested Duration:1-2 hours,"Kensington Gardens, London W2 3XA England",4,"['Lancaster Gate', 'Paddington', 'Rental Cars']"
79,Science Museum,Suggested Duration:2-3 hours,"Exhibition Road South Kensington, London SW7 2DD England",4,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
80,Dr. Johnson's House,Suggested Duration:1-2 hours,"17 Gough Square, London EC4A 3DE England",4,"['Chancery Lane', 'Blackfriars', 'Rental Cars']"
81,London Transport Museum,Suggested Duration:1-2 hours,"39 Wellington Street Covent Garden Piazza, London WC2E 7BB England",4,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
82,Museum of Freemasonry,Suggested Duration:1-2 hours,"Freemasons Hall 60 Great Queen Street Freemasons' Hall, London WC2B 5AZ England",4.5,"['Holborn', 'Covent Garden', 'Rental Cars']"
83,V&A Museum of Childhood,Suggested Duration:Not Available,"Cambridge Heath Road, London E2 9PA England",4,"['Bethnal Green', 'Bethnal Green', 'Rental Cars']"
84,Marylebone,Suggested Duration:Not Available,"73, London England",Ratings Not Available,"['Bond St', ""Regent's Park"", 'Rental Cars']"
85,National Army Museum,Suggested Duration:1-2 hours,"Royal Hospital Road Chelsea, London SW3 4HT England",4,"['Knightsbridge', 'Gloucester Road', 'Rental Cars']"
86,The Cartoon Museum,Suggested Duration:1-2 hours,"63 Wells Street, London W1T 3PT England",4,"['Oxford Circus', 'Goodge St', 'Rental Cars']"
87,The London Dungeon,Suggested Duration:Not Available,"Westminster Bridge Road County Hall, London SE1 7PB England",4,"['Waterloo', 'Embankment', 'Rental Cars']"
88,Jack the Ripper Museum,Suggested Duration:1-2 hours,"12 Cable Street, London E1 8JG England",4,"['Gallions Reach', 'Cyprus', 'Rental Cars']"
89,Estorick Collection of Modern Italian Art,Suggested Duration:Not Available,"39A Canonbury Square Northampton Lodge, London N1 2AN England",4.5,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
90,Queen Elizabeth II Great Court,Suggested Duration:Not Available,London England,4.5,"['Tottenham Court Road', 'Holborn', 'Rental Cars']"
91,Burgh House & Hampstead Museum,Suggested Duration:Not Available,"Burgh House New End Square Hampstead, London NW3 1LT England",4.5,"['South Hampstead', 'Hampstead', 'Rental Cars']"
92,The Cinema Museum,Suggested Duration:Not Available,"2 Dugard Way, London SE11 4TH England",4.5,"['Southwark', 'Waterloo', 'Rental Cars']"
93,London Transport Museum Depot,Suggested Duration:2-3 hours,"2 Museum Way 118-120 Gunnersbury Lane, London W3 9BQ England",4.5,"['Acton Town', 'Ealing Common', 'Rental Cars']"
94,Photographers' Gallery,Suggested Duration:Not Available,"16-18 Ramillies Street, London W1F 7LW England",Ratings Not Available,"['Oxford Circus', 'Tottenham Court Road', 'Rental Cars']"
95,Fashion and Textile Museum,Suggested Duration:1-2 hours,"83 Bermondsey Street, London SE1 3XF England",4,"['London Bridge', 'Tower Hill', 'Rental Cars']"
96,The Design Museum,Suggested Duration:Not Available,"238 Kensington High Street, London W8 6AG England",Ratings Not Available,"['High St Kensington', 'Kensington,Olympia', 'Rental Cars']"
97,Fulham Palace,Suggested Duration:Not Available,"Fulham Palace Bishops Avenue Fulham, London SW6 6EA England",4,"['Putney Bridge', 'Parsons Green', 'Rental Cars']"
98,Queen’s Diamond Jubilee Galleries,Suggested Duration:Not Available,"20 Deans Yard Westminster Abbey, London SW1P 3PA England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
99,Bankside Gallery,Suggested Duration:Not Available,"48 Hopton Street, London SE1 9JH England",Ratings Not Available,"['Blackfriars', 'Southwark', 'Rental Cars']"
100,Vagina Museum,Suggested Duration:< 1 hour,"Unit 17 & 18, Stables Market, Chalk Farm Road, London NW1 8AH England",4.5,"['Camden Town', 'Kentish Town West', 'Rental Cars']"
101,City of London Police Museum,Suggested Duration:Not Available,"2 Aldermanbury, London EC2V 7HH England",Ratings Not Available,"['Moorgate', ""St. Paul's"", 'Rental Cars']"
102,Ragged School Museum,Suggested Duration:Not Available,"46-50 Copperfield Road, London E3 4RR England",Ratings Not Available,"['Mile End', 'Limehouse', 'Rental Cars']"
103,Halcyon Gallery,Suggested Duration:Not Available,"144-146 New Bond Street, London W1S 2TR England",Ratings Not Available,"['Oxford Circus', 'Bond St', 'Rental Cars']"
104,Japan House London,Suggested Duration:2-3 hours,"101-111 Kensington High Street, London W8 5SA England",4.5,"['High St Kensington', 'Notting Hill Gate', 'Rental Cars']"
105,Brunel Museum,Suggested Duration:2-3 hours,"Brunel Engine House Railway Avenue Rotherhithe, London SE16 4LF England",3.5,"['Wapping', 'Beckton Park', 'Rental Cars']"
106,Saint Bartholomew's Hospital Museum,Suggested Duration:< 1 hour,"Giltspur Street West Smithfield, London EC1A 7BE England",4.5,"[""St. Paul's"", 'Barbican', 'Rental Cars']"
107,Alexander Fleming Laboratory Museum,Suggested Duration:Not Available,"Praed Street St Mary's Hospital, London W2 England",4.5,"['Paddington', 'Edgware Road', 'Rental Cars']"
108,Gunnersbury Park & Museum,Suggested Duration:1-2 hours,"Gunnersbury Park Popes Lane, London W5 4NH England",4,"['Acton Town', 'Ealing Common', 'Rental Cars']"
109,The Institution of Civil Engineers Visitor Centre,Suggested Duration:1-2 hours,"One Great George Street, Westminster, London SW1P 3AA England",5,"['Charing Cross', 'Embankment', 'Rental Cars']"
110,Hayward Gallery,Suggested Duration:Not Available,"Hayward Gallery Belvedere Road South Bank Centre, London SE1 8XZ England",4,"['Waterloo', 'Embankment', 'Rental Cars']"
111,London Glassblowing,Suggested Duration:Not Available,"62-66 Bermondsey Street, London SE1 3UD England",4.5,"['London Bridge', 'Tower Hill', 'Rental Cars']"
112,Sherlock Holmes Museum,Suggested Duration:Not Available,"221B Baker Street, London NW1 6XE England",Ratings Not Available,"['Baker St', 'Marylebone', 'Rental Cars']"
113,Tutankhamun Exhibition,Suggested Duration:Not Available,"King's Road Saatchi Gallery, London SW3 4RY England",Ratings Not Available,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
114,Sutton House,Suggested Duration:Not Available,"Sutton House 2-4 Homerton High Street, London E9 6JQ England",Ratings Not Available,"['Hackney Central', 'Homerton', 'Rental Cars']"
115,White Cube Gallery,Suggested Duration:Not Available,"144 _ 152 Bermondsey Street, London SE1 3TQ England",Ratings Not Available,"['London Bridge', 'Tower Hill', 'Rental Cars']"
116,Royal College of Physicians,Suggested Duration:1-2 hours,"11 St. Andrews Place Regent's Park, London NW1 4LE England",4.5,"['Great Portland St', ""Regent's Park"", 'Rental Cars']"
117,Whitechapel Gallery,Suggested Duration:Not Available,"77-82 Whitechapel High Street, London E1 7QX England",3.5,"['Aldgate East', 'Aldgate', 'Rental Cars']"
118,Cecil Court,Suggested Duration:Not Available,"Between Charing Cross Road & St. Martin's Lane, London England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
119,Royal Institute of British Architects,Suggested Duration:Not Available,"66 Portland Place, London W1B 1AD England",Ratings Not Available,"[""Regent's Park"", 'Great Portland St', 'Rental Cars']"
120,Garden Museum,Suggested Duration:Not Available,"5 Lambeth Palace Road, London SE1 7LB England",3.5,"['Waterloo', 'Embankment', 'Rental Cars']"
121,Discover Children’s Story Centre,Suggested Duration:Not Available,"383-387 High Street Stratford, London E15 4QZ England",4,"['Stratford High St', 'Stratford', 'Rental Cars']"
122,Hang-Up Gallery,Suggested Duration:Not Available,"10D Branch Place, Regents Canal Hoxton, London N1 5PH England",5,"['Dalston Junction', 'Dalston Kingsland', 'Rental Cars']"
123,Meet Vincent Van Gogh,Suggested Duration:Not Available,"99 Upper Ground Bishop's, London SE1 9PP England",Ratings Not Available,"['Waterloo', 'Temple', 'Rental Cars']"
124,Crystal Palace Museum,Suggested Duration:Not Available,"Anerley Hill, London SE19 2BA England",Ratings Not Available,['Crystal Palace']
125,Vestry House Museum,Suggested Duration:Not Available,"Vestry Road, London E17 9NH England",Ratings Not Available,"['Walthamstow Central', 'Leyton Midland Road', 'Rental Cars']"
126,Pollock's Toy Museum & Shop,Suggested Duration:Not Available,"1 Scala Street, London W1T 2HL England",Ratings Not Available,"['Goodge St', 'Tottenham Court Road', 'Rental Cars']"
127,Hertford House,Suggested Duration:Not Available,"Hertford House Manchester Square, London W1U 3BN England",Ratings Not Available,"['Bond St', 'Marble Arch', 'Rental Cars']"
128,Royal London Hospital Museum,Suggested Duration:Not Available,"Newark Street, London E1 2AA England",Ratings Not Available,"['Whitechapel', 'Whitechapel', 'Rental Cars']"
129,Royal Academy of Music Museum,Suggested Duration:< 1 hour,"Marylebone Road, London NW1 5HT England",4.5,"[""Regent's Park"", 'Baker St', 'Rental Cars']"
130,The Chocolate Museum,Suggested Duration:< 1 hour,"187 Ferndale Road, London SW9 8BA England",4.5,"['Waterloo', 'Southwark', 'Rental Cars']"
131,Tower RNLI Lifeboat Station,Suggested Duration:1-2 hours,"Lifeboat Pier Victoria Embankment, London WC2R 2PP England",5,"['Temple', 'Embankment', 'Rental Cars']"
132,Prince Phillip Maritime Collections Centre,Suggested Duration:Not Available,"Nelson Mandela Way Kidbrooke, London England",Ratings Not Available,"['East Finchley', 'Highgate', 'Rental Cars']"
133,Victoria Miro Gallery,Suggested Duration:Not Available,"16 Wharf Road, London N1 7RW England",4.5,"['Old St', 'Barbican', 'Rental Cars']"
134,Unit London,Suggested Duration:Not Available,"3 Hanover Square, London W1S 1HD England",Ratings Not Available,"['Kensal Rise', 'Kensal Green', 'Rental Cars']"
135,Migration Museum,Suggested Duration:1-2 hours,"33a Lewisham Centre Molesworth Street, London SE13 7HB England",4.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
136,The Who Shop,Suggested Duration:Not Available,"39-41 Barking Road, London E6 1PY England",Ratings Not Available,"['Upton Park', 'East Ham', 'Rental Cars']"
137,The Painted Hall,Suggested Duration:Not Available,"King William Walk Old Royal Naval College, London SE10 9NN England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
138,Hauser & Wirth London,Suggested Duration:Not Available,"23 Savile Row, London W1S 2ET England",Ratings Not Available,"['Oxford Circus', 'Piccadilly Circus', 'Rental Cars']"
139,Dorich House Museum,Suggested Duration:1-2 hours,"67 Kingston Vale Kingston University, London SW15 3RN England",4.5,"['Richmond', 'Richmond', 'Rental Cars']"
140,"Ben Uri Gallery and Museum, London: Art, Identity, Migration",Suggested Duration:1-2 hours,"108A Boundary Road St John's Wood, London NW8 0RH England",4.5,"['Kilburn High Road', 'Kilburn Park', 'Rental Cars']"
141,The Wiener Library,Suggested Duration:1-2 hours,"29 Russell Square, London WC1B 5DP England",4.5,"['Russell Square', 'Goodge St', 'Rental Cars']"
142,DC Exhibition: Dawn of Superheroes,Suggested Duration:Not Available,"Peninsula Square The O2, London SE10 0DX England",Ratings Not Available,"['North Greenwich', 'East India', 'Rental Cars']"
