No,Title,Suggested Duration,Address,Ratings,Transport
143,The Faraday Museum,Suggested Duration:Not Available,"21 Albermarle Street, London England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
144,Walton Fine Arts,Suggested Duration:< 1 hour,"152-154 Walton Street, London SW3 2JJ England",5,"['Knightsbridge', 'Gloucester Road', 'Rental Cars']"
145,Store Street Gallery,Suggested Duration:Not Available,"32 Store Street, London WC1E 7BS England",Ratings Not Available,"['Goodge St', 'Tottenham Court Road', 'Rental Cars']"
146,Clarendon Gallery,Suggested Duration:Not Available,"46 Dover Street, London W1S 4FF England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
147,Kristin Hjellegjerde Gallery,Suggested Duration:Not Available,"2 Melior Place, London SE1 3SZ England",Ratings Not Available,"['London Bridge', 'Monument', 'Rental Cars']"
148,Stephen Friedman Gallery,Suggested Duration:Not Available,"A M F Building 25-28 Old Burlington Street, London W1S 3AN England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
149,SEAGER gallery,Suggested Duration:Not Available,"2 Mill Lane Distillery Tower, London England",Ratings Not Available,"['Kilburn', 'Brondesbury', 'Rental Cars']"
150,Medicine - The Wellcome Galleries,Suggested Duration:Not Available,"Exhibition Road, London SW7 2DD England",Ratings Not Available,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
151,House of Illustration,Suggested Duration:1-2 hours,"2 Granary Square King's Cross, London N1C 4BH England",4,"[""King's Cross St. Pancras"", 'Caledonian Road & Barnsbury', 'Rental Cars']"
152,Hackney Museum,Suggested Duration:Not Available,"1 Reading Lane, London E8 1GQ England",Ratings Not Available,"['Hackney Central', 'London Fields', 'Rental Cars']"
153,Autograph,Suggested Duration:1-2 hours,"1 Rivington Place, London EC2A 3BA England",Ratings Not Available,"['Shoreditch High St', 'Old St', 'Rental Cars']"
154,Royal Opera Arcade Gallery,Suggested Duration:Not Available,Address Not Available,Ratings Not Available,"['Covent Garden', 'Leicester Square']"
155,Science Gallery London,Suggested Duration:1-2 hours,"Great Maze Pond, London SE1 9GU England",4,"['London Bridge', 'Monument', 'Rental Cars']"
156,MCC Cricket Museum,Suggested Duration:Not Available,"Lord's Ground St Johns Wood, London NW8 8QN England",Ratings Not Available,"[""St. John's Wood"", 'Maida Vale', 'Rental Cars']"
157,Sikorski Museum,Suggested Duration:Not Available,Address Not Available,5,['South Kensington']
158,Brunei Gallery,Suggested Duration:Not Available,"Soas 10 Thornhaugh Street, London WC1H 0XG England",Ratings Not Available,"['Russell Square', 'Goodge St', 'Rental Cars']"
159,Gagosian Gallery,Suggested Duration:Not Available,"6-24 Britannia Street, London WC1X 9JD England",Ratings Not Available,"['Bond St', 'Green Park', 'Rental Cars']"
161,Kirkaldy Testing Museum,Suggested Duration:Not Available,"99 Southwark Street, London SE1 0JF England",Ratings Not Available,"['Southwark', 'Blackfriars', 'Rental Cars']"
162,Institute of Contemporary Arts,Suggested Duration:Not Available,"The Mall, London SW1Y 5AH England",4,"['Charing Cross', 'Piccadilly Circus', 'Rental Cars']"
163,Richard Orlinski Gallery,Suggested Duration:Not Available,"106 New Bond Street, London W1S 1DN England",Ratings Not Available,"['Bond St', 'Oxford Circus', 'Rental Cars']"
164,Museum of Happiness,Suggested Duration:1-2 hours,"42 Acres, 66 Leonard Street Shoreditch, London England",4,"['Camden Town', 'Camden Road', 'Rental Cars']"
165,Richard Saltoun Gallery,Suggested Duration:Not Available,"41 Dover Street, London W1S 4NS England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
166,Tate Museum Of Contempory Art London,Suggested Duration:Not Available,"Tate Modern Bankside, London W11 1JR England",Ratings Not Available,"['Blackfriars', 'Southwark', 'Rental Cars']"
167,Genius Treasure Museum,Suggested Duration:< 1 hour,"All Hallows Church, 1 Pepper Street Entrance is the Church doors on Pepper Street SE1, London SE1 0EL England",5,"['Southwark', 'London Bridge', 'Rental Cars']"
168,The Tabernacle,Suggested Duration:1-2 hours,"The Tabernacle 34-35 Powis Square, London W11 2AY England",4,"['Westbourne Park', 'Ladbroke Grove', 'Rental Cars']"
169,Hogarth's House,Suggested Duration:Not Available,"Great West Rd Chiswick, London W4 2QN England",Ratings Not Available,"['Turnham Green', 'Chiswick Park', 'Rental Cars']"
170,Camden Arts Centre,Suggested Duration:Not Available,"Arkwright Road, London NW3 6DG England",4,"['Finchley Road & Frognal', 'Finchley Road', 'Rental Cars']"
171,Bruce Castle Museum,Suggested Duration:Not Available,"Bruce Castle Museum Lordship Lane, London N17 8NU England",Ratings Not Available,"['Tottenham Hale', 'Seven Sisters', 'Rental Cars']"
172,Museum of Comedy,Suggested Duration:Not Available,"St George's Church Bloomsbury Way, London WC1A 2SR England",4,"['Holborn', 'Tottenham Court Road', 'Rental Cars']"
173,The London Fire Brigade Museum,Suggested Duration:Not Available,"Winchester House 94A Southwark Bridge Road, London SE1 0EG England",Ratings Not Available,"['Southwark', 'London Bridge', 'Rental Cars']"
174,Now Gallery,Suggested Duration:Not Available,"The Gateway Pavilions Peninsula Square, London SE10 0SQ England",Ratings Not Available,"['North Greenwich', 'Blackwall', 'Rental Cars']"
175,Nunnery Gallery,Suggested Duration:Not Available,"183 Bow Road, London E3 2SJ England",Ratings Not Available,"['Bow Road', 'Bow Church', 'Rental Cars']"
176,The Building Centre,Suggested Duration:Not Available,"26 Store Street, London WC1E 7BT England",Ratings Not Available,"['Goodge St', 'Tottenham Court Road', 'Rental Cars']"
177,Van Gogh Exhibition,Suggested Duration:Not Available,"Royal Academy Piccadilly, London W1J 0BD England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
178,Parasol unit foundation for contemporary art,Suggested Duration:Not Available,"Foundation For Contemporary Art 14 Wharf Road, London N1 7RW England",Ratings Not Available,"['Old St', 'Barbican', 'Rental Cars']"
179,House of Vans,Suggested Duration:Not Available,"Arches 228 - 232 Station Approach Road, London SE1 8SW England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
180,Vintners' Hall,Suggested Duration:2-3 hours,"Vintners Hall 68 & a Half 68 Upper Thames Street, London EC4V 3BG England",4.5,"['Mansion House', 'Cannon St', 'Rental Cars']"
181,Greenwich Heritage Centre,Suggested Duration:Not Available,"Artillery Square Royal Arsenal, Woolwich, London SE18 4DX England",Ratings Not Available,"['Woolwich Arsenal', 'King George V', 'Rental Cars']"
182,Woolff Gallery,Suggested Duration:< 1 hour,"89 Charlotte Street Fitzrovia, London W1T 4PU England",4.5,"['Goodge St', 'Warren St', 'Rental Cars']"
183,Wimbledon Windmill Museum,Suggested Duration:Not Available,"Manor Cottage Windmill Road Wimbledon Common, London SW19 5NR England",Ratings Not Available,"['Putney Bridge', 'Morden', 'Rental Cars']"
184,I Am the Greatest - Muhammad Ali at The O2,Suggested Duration:Not Available,"The O2, London SE10 0DX England",Ratings Not Available,"['North Greenwich', 'East India', 'Rental Cars']"
185,Lights of Soho,Suggested Duration:Not Available,"35 Brewer Street, London W1F 0RX England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
186,"The House of Dreams, Stephen Wright",Suggested Duration:Not Available,"45 Melbourne Grove East Dulwich, London SE22 8RG England",Ratings Not Available,"['London Bridge', 'Wapping', 'Rental Cars']"
187,Design Centre,Suggested Duration:Not Available,"Lots Road Chelsea Harbour, London SW10 0XE England",Ratings Not Available,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
188,Southbank Mosaics,Suggested Duration:Not Available,"73 Waterloo Road, London SE1 8UD England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
189,Tower Hill Pageant,Suggested Duration:Not Available,"Lower Thames Street, Lambeth, London England",Ratings Not Available,"['Monument', 'Cannon St', 'Rental Cars']"
190,Stern Pissarro Gallery,Suggested Duration:Not Available,"66 St. James's Street, London SW1A 1NE England",5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
191,The Goldsmiths Company,Suggested Duration:Not Available,"Goldsmiths Hall 13 Foster Lane Goldsmiths' Hall, London EC2V 6BN England",4.5,"[""St. Paul's"", 'Mansion House', 'Rental Cars']"
192,The Clockmakers' Museum,Suggested Duration:Not Available,"805 Commercial Road 2ND Floor Gallery, London E14 7HG England",Ratings Not Available,"['Custom House for Excel', 'Westferry', 'Rental Cars']"
193,Royal Armories,Suggested Duration:Not Available,"White Tower HM Tower of London, London EC3N 4AB England",Ratings Not Available,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
194,Black Cultural Archives,Suggested Duration:Not Available,"1 Windrush Square Brixton, London SW2 1EF England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
195,Skylark Galleries,Suggested Duration:Not Available,"56 Upper Ground Studio 5, Gabriel’s Wharf, London SE1 9PP England",Ratings Not Available,"['Temple', 'Southwark', 'Rental Cars']"
196,BDA Dental Museum,Suggested Duration:Not Available,"64 Wimpole Street, London W1G 8YS England",Ratings Not Available,"['Bond St', ""Regent's Park"", 'Rental Cars']"
197,Three Colt Gallery,Suggested Duration:Not Available,"82 Three Colt Street, London E14 8AP England",Ratings Not Available,"['Westferry', 'Custom House for Excel', 'Rental Cars']"
198,The Metropolitan Police Heritage Centre,Suggested Duration:Not Available,"Lillie Road The Annexe, Empress State Building, London SW6 1TR England",Ratings Not Available,"['West Brompton', 'West Brompton', 'Rental Cars']"
199,South London Gallery,Suggested Duration:Not Available,"65-67 Peckham Road, London SE5 8UH England",4,"['London Bridge', 'Wapping', 'Rental Cars']"
200,Abbott & Holder,Suggested Duration:Not Available,"30 Museum Street, London WC1A 1LH England",4.5,"['Tottenham Court Road', 'Holborn', 'Rental Cars']"
201,London Sewing Machine Museum,Suggested Duration:Not Available,"292-312 Balham High Road, London SW17 7AA England",Ratings Not Available,"['Morden', 'Putney Bridge', 'Rental Cars']"
202,Islington Museum,Suggested Duration:Not Available,"245 St. John Street, London EC1V 4NB England",Ratings Not Available,"['Farringdon', 'Barbican', 'Rental Cars']"
203,Thames River Police Museum,Suggested Duration:Not Available,"Wapping Police Station 98 Wapping High Street Wapping Police Station, London E1W 2NE England",Ratings Not Available,"['Wapping', 'Cyprus', 'Rental Cars']"
204,British Optical Association Museum,Suggested Duration:Not Available,"41-42 Craven Street, London WC2N 5NG England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
205,The Mosaic Rooms,Suggested Duration:Not Available,"Tower House 226 Cromwell Road, London SW5 0SW England",4,"[""Earl's Court"", 'High St Kensington', 'Rental Cars']"
206,Markfield Beam Engine Museum,Suggested Duration:Not Available,"Markfield Road, London N15 4RB England",Ratings Not Available,"['South Tottenham', 'Tottenham Hale', 'Rental Cars']"
207,Society of Antiquaries of London,Suggested Duration:Not Available,"Burlington House Piccadilly Piccadilly, London W1J 0BE England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
208,Lisson Gallery,Suggested Duration:Not Available,"52-54 Bell Street, London NW1 5BU England",4,"['Edgware Road', 'Marylebone', 'Rental Cars']"
209,The Antique Breadboard Museum,Suggested Duration:1-2 hours,"Lifford Street, London SW15 1NY England",5,"['Putney Bridge', 'Parsons Green', 'Rental Cars']"
210,Creekside Discovery Centre,Suggested Duration:Not Available,"14 Creekside Deptford, London SE8 4SA England",Ratings Not Available,"['Canary Wharf', 'Canary Wharf', 'Rental Cars']"
211,The British Vintage Wireless and Television Museum,Suggested Duration:Not Available,"23 Rosendale Road West Dulwich, London SE21 8DS England",Ratings Not Available,"['Morden', 'Southwark', 'Rental Cars']"
212,The William Morris Society,Suggested Duration:< 1 hour,"26 Upper Mall Hammersmith, London W6 9TA England",4,"['Ravenscourt Park', 'Hammersmith', 'Rental Cars']"
213,The Linnean Society of London,Suggested Duration:1-2 hours,"Burlington House Piccadilly Piccadilly, London W1J 0BF England",5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
214,The Noble Sage Art Collection & Art Tours,Suggested Duration:2-3 hours,"2A Fortis Green Arkley, Barnet, London N2 9EL England",5,"['East Finchley', 'Highgate', 'Rental Cars']"
215,Lazinc gallery,Suggested Duration:Not Available,"29 Sackville Street, London W1S 3DX England",Ratings Not Available,"['Piccadilly Circus', 'Green Park', 'Rental Cars']"
216,Store Studios,Suggested Duration:Not Available,"180 Strand, London WC2R 1EA England",Ratings Not Available,"['Temple', 'Covent Garden', 'Rental Cars']"
217,Pace Gallery,Suggested Duration:Not Available,"6 Burlington Gardens W1S 3ET, London W1S 3ET England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
218,Print Club London,Suggested Duration:Not Available,"10-28 Millers Avenue Unit 3, London E8 2DS England",Ratings Not Available,"['Dalston Junction', 'Dalston Kingsland', 'Rental Cars']"
219,Howard Griffin Gallery,Suggested Duration:Not Available,"189 Shoreditch High Street, London E1 6HU England",Ratings Not Available,"['Shoreditch High St', 'London Liverpool St', 'Rental Cars']"
220,Diana Her Fashion Story,Suggested Duration:Not Available,"Kengsinton palace, London N14 6HT England",Ratings Not Available,"['Queensway', 'High St Kensington', 'Rental Cars']"
221,Galeria Melissa,Suggested Duration:Not Available,"43 King Street, London WC2E 8JY England",Ratings Not Available,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
222,Society of Genealogists,Suggested Duration:2-3 hours,"Goswell Road 14 Charterhouse Buildings, London EC1M 7BA England",4.5,"['Barbican', 'Farringdon', 'Rental Cars']"
223,Royal Pharmaceutical Society Museum,Suggested Duration:Not Available,"1 Lambeth High Street, London SE1 7JN England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
224,Pump House Gallery,Suggested Duration:Not Available,"Battersea Park, London SW11 4NJ England",Ratings Not Available,"['Knightsbridge', 'Gloucester Road', 'Rental Cars']"
225,Sunny Art Centre,Suggested Duration:< 1 hour,"30 Gray's Inn Road, London WC1X 8HR England",4.5,"['Chancery Lane', 'Farringdon', 'Rental Cars']"
226,London Metropolitan Archives,Suggested Duration:Not Available,"40 Northampton Road, London EC1R 0HB England",Ratings Not Available,"['Farringdon', 'Barbican', 'Rental Cars']"
227,Snap Galleries London,Suggested Duration:Not Available,"8 Piccadilly Arcade, London SW1Y 6NH England",5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
228,Sh! Women's Emporium,Suggested Duration:Not Available,"35 Pitfield Street Enter through the coffee shop, London N1 6HB England",Ratings Not Available,"['Old St', 'Shoreditch High St', 'Rental Cars']"
229,James Freeman Gallery,Suggested Duration:Not Available,"354 Upper Street, London N1 0PD England",Ratings Not Available,"['Caledonian Road & Barnsbury', 'Highbury & Islington', 'Rental Cars']"
230,UCL Art Museum,Suggested Duration:Not Available,"South Cloisters, Wilkins Building, University College London, Gower Street, London WC1E 6BT England",4,"['Goodge St', 'Tottenham Court Road', 'Rental Cars']"
231,The Asylum Chapel,Suggested Duration:Not Available,"Caroline Gardens , Asylum Road, London SE15 2SQ England",Ratings Not Available,"['Wapping', 'Cyprus', 'Rental Cars']"
232,Elizabeth Garrett Anderson Room,Suggested Duration:Not Available,"Euston Road Unison Centre, London England",Ratings Not Available,"['Euston', 'London Euston', 'Rental Cars']"
233,Fine Art Society,Suggested Duration:Not Available,"Epworth House 25 City Road, London EC1Y 1AA England",5,"['Old St', 'Moorgate', 'Rental Cars']"
234,Victoria Miro Mayfair,Suggested Duration:Not Available,"14 St. George Street, London W1S 1FE England",Ratings Not Available,"['Oxford Circus', 'Bond St', 'Rental Cars']"
235,Raven Row,Suggested Duration:Not Available,"56 Artillery Lane, London E1 7LS England",Ratings Not Available,"['Liverpool St', 'London Liverpool St', 'Rental Cars']"
236,Proud Galleries,Suggested Duration:Not Available,"Flat 32 10 John Adam Street, London WC2N 6HA England",Ratings Not Available,"['Embankment', 'Charing Cross', 'Rental Cars']"
237,"The White Cube, Mason's Yard",Suggested Duration:Not Available,"St. James's, London SW1Y 6BU",Ratings Not Available,"['Piccadilly Circus', 'Charing Cross', 'Victoria']"
238,Rivington Place,Suggested Duration:Not Available,"1 Rivington Place, London EC2A 3BA England",Ratings Not Available,"['Shoreditch High St', 'Old St', 'Rental Cars']"
239,Bold Tendencies,Suggested Duration:1-2 hours,"95A Rye Lane Levels 7-10, London SE15 4ST England",4.5,"['Wapping', 'London Bridge', 'Rental Cars']"
240,Haunch of Venison,Suggested Duration:Not Available,"6 Haunch of Venison Yard, London W1K 5EU England",Ratings Not Available,"['Bond St', 'Oxford Circus', 'Rental Cars']"
241,Hampstead Museum,Suggested Duration:Not Available,"Burgh House New End Square New End Square, London NW3 1LT England",Ratings Not Available,"['South Hampstead', 'Hampstead', 'Rental Cars']"
242,Galerie Thaddaeus Ropac,Suggested Duration:Not Available,"37 Dover Street Ely House, London W1S 4NJ England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
243,Gagliardi Gallery,Suggested Duration:Not Available,"509 Kings Road, London SW10 0TX England",4.5,"['Fulham Broadway', 'West Brompton', 'Rental Cars']"
244,Wandsworth Prison Museum,Suggested Duration:Not Available,"Heathfield Road, London SW18 3HS England",Ratings Not Available,"['Putney Bridge', 'Parsons Green', 'Rental Cars']"
245,Zabludowicz Collection,Suggested Duration:< 1 hour,"176 Prince of Wales Road, London NW5 3PT England",4.5,"['Chalk Farm', 'Kentish Town West', 'Rental Cars']"
246,The Horse Hospital,Suggested Duration:Not Available,"Colonnade Bloomsbury, London WC1N 1JD England",Ratings Not Available,"['Russell Square', 'Holborn', 'Rental Cars']"
247,Gallery Fumi,Suggested Duration:Not Available,"2 Hay Hill Mayfair, London W1J 6AS England",Ratings Not Available,"['Green Park', 'Bond St', 'Rental Cars']"
248,Italian Cultural Institute,Suggested Duration:Not Available,"39 Belgrave Square, London SW1X 8NX England",Ratings Not Available,"['Hyde Park Corner', 'Knightsbridge', 'Rental Cars']"
249,Pangolin London,Suggested Duration:Not Available,"Kings Place 90 York Way 90 York Way, London N1 9AG England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Caledonian Road & Barnsbury', 'Rental Cars']"
250,Rowley Gallery,Suggested Duration:Not Available,"115 Kensington Church Street Just south of Notting Hill Gate Tube Stop, London W8 7LN England",Ratings Not Available,"['Notting Hill Gate', 'High St Kensington', 'Rental Cars']"
251,TJ Boulting,Suggested Duration:Not Available,"59 Riding House Street, London W1W 7EG England",Ratings Not Available,"['Goodge St', 'Oxford Circus', 'Rental Cars']"
252,Percival David Foundation of Chinese Art,Suggested Duration:Not Available,"53 Gordon Square Great Russel Street, London WC1H 0PD England",Ratings Not Available,"['Russell Square', 'Euston Square', 'Rental Cars']"
253,Photofusion,Suggested Duration:Not Available,"17A Electric Lane Brixton, London SW9 8LA England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
254,Anaesthesia Heritage Centre,Suggested Duration:< 1 hour,"21 Portland Place, London W1B 1PY England",4,"[""Regent's Park"", 'Great Portland St', 'Rental Cars']"
255,Eden Fine Art Gallery,Suggested Duration:1-2 hours,"103 New Bond Street, London W1S 1ST England",4,"['Bond St', 'Oxford Circus', 'Rental Cars']"
256,"65 Queen's Gate, Baden-Powell House",Suggested Duration:Not Available,"65-67 Queen's Gate, London SW7 5JS England",3,"['Gloucester Road', ""Earl's Court"", 'Rental Cars']"
257,Dairy Art Centre,Suggested Duration:Not Available,"7A Wakefield Street Bloomsbury, London WC1N 1PG England",Ratings Not Available,"['Russell Square', ""King's Cross St. Pancras"", 'Rental Cars']"
258,The New Craftsmen,Suggested Duration:< 1 hour,"34 North Row, London W1K 6DG England",5,"['Bond St', 'Marble Arch', 'Rental Cars']"
259,Curious Duke Gallery,Suggested Duration:Not Available,"173 Whitecross Street, London EC1Y 8JT England",Ratings Not Available,"['Old St', 'Barbican', 'Rental Cars']"
260,The Jozef Pilsudski Institute,Suggested Duration:Not Available,"238-246 King Street, London W6 0RF England",4.5,"['Ravenscourt Park', 'Stamford Brook', 'Rental Cars']"
261,Leyden Gallery,Suggested Duration:1-2 hours,"9/9A Leyden Street, London E1 7LE England",5,"['Aldgate', 'Aldgate East', 'Rental Cars']"
262,Atom Gallery,Suggested Duration:< 1 hour,"127 Green Lanes, London N16 9DA England",5,"['Canonbury', 'Arsenal', 'Rental Cars']"
263,Zuleika Gallery,Suggested Duration:Not Available,"Riverwide House 6 Masons Yard, London SW1Y 6BU England",Ratings Not Available,"['Piccadilly Circus', 'Green Park', 'Rental Cars']"
264,Curwen Gallery,Suggested Duration:Not Available,"4 Windmill St., W1, London England",Ratings Not Available,"['Goodge St', 'Tottenham Court Road', 'Rental Cars']"
265,Not the Royal Academy,Suggested Duration:Not Available,"Llewellyn Alexander Gallery The Cut, London SE1 England",4,"['Wapping', 'Cyprus', 'Rental Cars']"
266,Laure Genillard,Suggested Duration:Not Available,"2 Hanway Place, London W1T 1HB England",4.5,"['Tottenham Court Road', 'Goodge St', 'Rental Cars']"
267,The Montage,Suggested Duration:Not Available,"33 Dartmouth Road, London SE23 3HN England",Ratings Not Available,"['Wapping', 'London Bridge', 'Rental Cars']"
268,Aga Khan Centre,Suggested Duration:Not Available,"10 Handyside Street, London N1C 4DN England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Caledonian Road & Barnsbury', 'Rental Cars']"
269,P21 Gallery,Suggested Duration:Not Available,"21 Chalton Street, London NW1 1JD England",Ratings Not Available,"['Mornington Crescent', 'London Euston', 'Rental Cars']"
270,Phillips,Suggested Duration:Not Available,"30 Berkeley Square W1J 6EX, London W1J 6EX England",Ratings Not Available,"['Bond St', 'Green Park', 'Rental Cars']"
271,The Salvation Army International Heritage Centre,Suggested Duration:< 1 hour,"William Booth College Champion Park Third floor, William Booth College, London SE5 8BQ England",4.5,"['London Bridge', 'Southwark', 'Rental Cars']"
272,Waddington Galleries,Suggested Duration:Not Available,"11-12 & 34 Cork Street, London W1X 2LT England",4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
273,UCL Geology Collections,Suggested Duration:Not Available,"Gower Street Room 4, 1st floor corridor, South Wing, University College London, London WC1E 6BT England",4.5,"['Euston Square', 'Warren St', 'Rental Cars']"
274,Cortesi Gallery London,Suggested Duration:Not Available,"41&43 Maddox St, London England",Ratings Not Available,"['Oxford Circus', 'Bond St', 'Rental Cars']"
275,Galeries Bertoux,Suggested Duration:Not Available,"104 New Bond Street Mayfair, London W1S 1SU England",Ratings Not Available,"['Bond St', 'Oxford Circus', 'Rental Cars']"
276,The Hellenic Centre,Suggested Duration:Not Available,"16-18 Paddington Street Marylebone, London W1U 5AS England",Ratings Not Available,"['Baker St', ""Regent's Park"", 'Rental Cars']"
277,Jerwood Space,Suggested Duration:Not Available,"171 Union Street, London SE1 0LN England",Ratings Not Available,"['Southwark', 'Blackfriars', 'Rental Cars']"
278,Marlborough Contemporary,Suggested Duration:Not Available,"6 Albemarle Street, London W1S 4BY England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
279,Flowers Gallery,Suggested Duration:Not Available,"21 Cork Street, London W1S 3LZ England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
280,London Natsume Soseki Memorial Hall,Suggested Duration:Not Available,"80B The Chase The Chase, London SW4 0NG England",Ratings Not Available,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
